,Team,Sport,Event,Medal,Age,Height,Weight,Cluster
28885,United States,Basketball,Basketball Men's Basketball,Gold,22.0,203.0,95.0,2
28886,New Zealand,Rowing,Rowing Men's Coxed Eights,Gold,23.0,197.0,91.0,1
28887,New Zealand,Rowing,Rowing Men's Coxed Eights,Bronze,27.0,197.0,91.0,3
28888,United States,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,28.0,170.0,65.0,2
28889,Australia,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,22.0,179.0,61.0,1
28890,Australia,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,22.0,179.0,61.0,0
28891,Australia,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,17.0,163.0,58.0,0
28892,Great Britain,Rowing,Rowing Women's Coxed Eights,Silver,32.0,184.0,75.0,4
28893,Great Britain,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,35.0,177.0,64.0,4
28894,Great Britain,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,20.0,166.0,60.0,7
28895,Great Britain,Shooting,Shooting Men's Double Trap,Gold,25.0,198.0,90.0,1
28896,Great Britain,Sailing,Sailing Women's Three Person Keelboat,Gold,22.0,171.0,63.0,1
28897,United States,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,23.0,170.0,67.0,2
28898,United States,Football,Football Women's Football,Gold,20.0,158.0,52.0,2
28899,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver,32.0,169.0,59.0,4
28900,Canada-1,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze,26.0,167.0,56.0,7
28901,West Germany,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold,26.0,182.0,76.0,1
28902,Great Britain,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver,43.0,183.0,83.0,4
28903,Germany,Football,Football Women's Football,Bronze,21.0,165.0,64.0,7
28904,Sweden,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver,16.0,165.0,63.0,4
28905,Brazil,Football,Football Men's Football,Silver,21.0,177.0,75.0,5
28906,Brazil,Football,Football Men's Football,Silver,25.0,177.0,75.0,5
28907,Great Britain,Rowing,Rowing Women's Double Sculls,Bronze,30.0,190.0,84.0,3
28908,Denmark,Sailing,Sailing Mixed One Person Dinghy,Bronze,27.0,176.0,82.0,7
28909,Australia,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,18.0,187.0,78.0,0
28910,United States,Water Polo,Water Polo Women's Water Polo,Silver,23.0,178.0,70.0,0
28911,United States,Water Polo,Water Polo Women's Water Polo,Gold,27.0,178.0,70.0,2
28912,Italy,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Bronze,24.0,180.0,70.0,7
28913,Australia,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,19.0,185.0,77.0,1
28914,Australia,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,19.0,185.0,77.0,8
28915,Australia,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,23.0,185.0,77.0,8
28916,Australia,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,23.0,185.0,77.0,0
28917,Netherlands,Hockey,Hockey Men's Hockey,Gold,27.0,188.0,76.0,1
28918,United States,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,28.0,178.0,62.0,2
28919,Netherlands,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,20.0,170.0,64.0,0
28920,West Germany,Luge,Luge Men's Singles,Bronze,25.0,180.0,84.0,7
28921,West Germany,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze,29.0,180.0,73.0,7
28922,Germany,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold,29.0,174.0,72.0,1
28923,Germany,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold,29.0,174.0,72.0,1
28924,Germany,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold,34.0,174.0,72.0,1
