,Team,Sport,Event,Medal,Age,Height,Weight
7093,United States,Athletics,Athletics Men's 400 metres,Silver,23.0,175.0,68.0
7094,Germany,Football,Football Women's Football,Bronze,31.0,175.0,64.0
7095,United States,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,29.0,180.0,79.0
7096,United States,Athletics,Athletics Women's 100 metres Hurdles,Gold,23.0,178.0,65.0
7097,New Zealand,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver,21.0,168.0,75.0
7098,United States,Speed Skating,Speed Skating Men's 500 metres,Gold,27.0,180.0,79.0
7099,Switzerland,Gymnastics,Gymnastics Men's Team All-Around,Silver,20.0,162.0,65.0
7100,Germany,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold,23.0,179.0,72.0
7101,Canada,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,17.0,165.0,54.0
7102,Norway,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,27.0,178.0,80.0
7103,United States,Tennis,Tennis Men's Doubles,Gold,25.0,185.0,75.0
7104,East Germany,Sailing,Sailing Mixed Three Person Keelboat,Gold,32.0,186.0,95.0
7105,Germany,Sailing,Sailing Mixed Three Person Keelboat,Gold,40.0,186.0,95.0
7106,United States,Volleyball,Volleyball Women's Volleyball,Silver,27.0,184.0,75.0
7107,United States,Speed Skating,"Speed Skating Men's 1,500 metres",Silver,20.0,173.0,73.0
7108,United States,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver,26.0,173.0,73.0
7109,France,Fencing,"Fencing Men's Foil, Team",Bronze,25.0,170.0,69.0
7110,France,Fencing,"Fencing Men's Foil, Team",Gold,29.0,170.0,69.0
7111,United States,Rowing,Rowing Women's Coxed Eights,Gold,27.0,177.0,81.0
7112,United States,Athletics,Athletics Men's Hammer Throw,Gold,32.0,178.0,95.0
7113,United States,Athletics,Athletics Men's 56-pound Weight Throw,Silver,36.0,178.0,95.0
7114,United States,Athletics,Athletics Men's Hammer Throw,Gold,36.0,178.0,95.0
7115,United States,Athletics,Athletics Men's Hammer Throw,Gold,40.0,178.0,95.0
7116,United States,Athletics,"Athletics Women's 10,000 metres",Silver,27.0,166.0,47.0
7117,France,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze,28.0,181.0,73.0
7118,Norway,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze,31.0,173.0,62.0
7119,Germany,Athletics,Athletics Women's Javelin Throw,Bronze,20.0,168.0,66.0
7120,Germany,Athletics,Athletics Women's Javelin Throw,Gold,24.0,168.0,66.0
7121,Canada,Football,Football Women's Football,Bronze,18.0,164.0,55.0
7122,United States,Figure Skating,Figure Skating Women's Singles,Gold,19.0,163.0,50.0
7123,United States-1,Bobsleigh,Bobsleigh Women's Two,Silver,29.0,173.0,77.0
7124,United States,Basketball,Basketball Men's Basketball,Gold,22.0,195.0,84.0
7125,East Germany,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,21.0,189.0,86.0
7126,East Germany,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,21.0,189.0,86.0
7127,France,Fencing,"Fencing Women's epee, Individual",Gold,24.0,171.0,55.0
7128,France,Fencing,"Fencing Women's epee, Team",Gold,24.0,171.0,55.0
7129,France,Fencing,"Fencing Women's epee, Individual",Bronze,28.0,171.0,55.0
7130,France,Fencing,"Fencing Women's epee, Individual",Silver,32.0,171.0,55.0
7131,France,Fencing,"Fencing Women's epee, Team",Bronze,32.0,171.0,55.0
7132,United States,Snowboarding,Snowboarding Women's Parallel Giant Slalom,Bronze,30.0,175.0,68.0
7133,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,33.0,168.0,82.0
7134,France,Judo,Judo Women's Half-Middleweight,Gold,26.0,164.0,62.0
7135,Australia,Athletics,Athletics Women's 400 metres Hurdles,Gold,28.0,171.0,58.0
7136,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,24.0,190.0,85.0
7137,East Germany,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,19.0,183.0,70.0
7138,Sweden,Fencing,"Fencing Men's epee, Team",Gold,23.0,185.0,70.0
7139,Finland,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver,23.0,176.0,63.0
7140,Great Britain,Rowing,Rowing Women's Quadruple Sculls,Silver,24.0,177.0,76.0
7141,Great Britain,Rowing,Rowing Women's Quadruple Sculls,Silver,28.0,177.0,76.0
7142,Romania,Swimming,Swimming Men's 200 metres Backstroke,Bronze,23.0,186.0,72.0
7143,Romania,Rowing,Rowing Women's Coxed Eights,Gold,21.0,183.0,73.0
7144,Romania,Rowing,Rowing Women's Coxed Eights,Bronze,25.0,183.0,73.0
7145,Great Britain,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver,25.0,188.0,76.0
7146,Great Britain-2,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver,29.0,188.0,76.0
7147,Great Britain,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver,33.0,188.0,76.0
7148,France,Sailing,Sailing Mixed One Person Dinghy,Bronze,34.0,189.0,95.0
7149,Brazil,Boxing,Boxing Men's Middleweight,Silver,22.0,171.0,75.0
7150,Netherlands,Rowing,Rowing Men's Double Sculls,Gold,27.0,191.0,94.0
7151,Netherlands,Rowing,Rowing Men's Coxed Eights,Gold,35.0,191.0,94.0
7152,Germany-1,Luge,Luge Mixed (Men)'s Doubles,Silver,29.0,183.0,83.0
7153,Germany-2,Bobsleigh,Bobsleigh Men's Two,Silver,31.0,184.0,95.0
7154,Iceland,Athletics,Athletics Women's Pole Vault,Bronze,22.0,183.0,72.0
7155,West Germany-1,Bobsleigh,Bobsleigh Men's Two,Silver,33.0,178.0,85.0
7156,West Germany-1,Bobsleigh,Bobsleigh Men's Two,Silver,37.0,178.0,85.0
7157,United States,Softball,Softball Women's Softball,Gold,23.0,170.0,73.0
7158,United States,Softball,Softball Women's Softball,Silver,27.0,170.0,73.0
7159,United States-2,Bobsleigh,Bobsleigh Women's Two,Gold,28.0,167.0,70.0
7160,France,Archery,Archery Men's Individual,Gold,20.0,170.0,58.0
7161,United States,Boxing,Boxing Men's Welterweight,Gold,22.0,168.0,67.0
7162,United States,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver,25.0,170.0,52.0
7163,Great Britain,Rowing,Rowing Men's Coxed Eights,Bronze,25.0,185.0,90.0
7164,Sweden,Athletics,"Athletics Men's 3,000 metres, Team",Silver,24.0,170.0,62.0
7165,Sweden,Athletics,"Athletics Men's Cross-Country, Team",Gold,24.0,170.0,62.0
7166,Hungary,Water Polo,Water Polo Men's Water Polo,Gold,24.0,190.0,94.0
7167,Hungary,Water Polo,Water Polo Men's Water Polo,Gold,28.0,190.0,94.0
7168,Hungary,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,23.0,180.0,84.0
7169,United States,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver,28.0,172.0,68.0
7170,United States,Sailing,Sailing Men's Two Person Dinghy,Silver,36.0,172.0,68.0
7171,United States,Sailing,Sailing Men's Two Person Dinghy,Gold,40.0,172.0,68.0
7172,Brazil,Volleyball,Volleyball Women's Volleyball,Bronze,26.0,173.0,63.0
7173,Brazil,Volleyball,Volleyball Women's Volleyball,Bronze,30.0,173.0,63.0
7174,Brazil,Volleyball,Volleyball Women's Volleyball,Gold,38.0,173.0,63.0
7175,Australia,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,24.0,174.0,70.0
7176,Skum,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver,22.0,171.0,73.0
7177,Canada,Sailing,Sailing Mixed Three Person Keelboat,Bronze,46.0,171.0,73.0
7178,United States-1,Bobsleigh,Bobsleigh Men's Four,Bronze,30.0,183.0,93.0
7179,Poland,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,31.0,172.0,69.0
7180,France,Basketball,Basketball Men's Basketball,Silver,26.0,197.0,95.0
7181,Soviet Union,Speed Skating,Speed Skating Men's 500 metres,Gold,21.0,183.0,76.0
7182,Uzbekistan,Gymnastics,Gymnastics Men's Parallel Bars,Bronze,25.0,169.0,57.0
7183,Soviet Union,Football,Football Men's Football,Gold,27.0,182.0,79.0
7184,Netherlands,Hockey,Hockey Women's Hockey,Bronze,20.0,159.0,53.0
7185,Hungary,Athletics,Athletics Men's Long Jump,Bronze,23.0,185.0,72.0
7186,Hungary,Weightlifting,Weightlifting Men's Bantamweight,Silver,26.0,150.0,56.0
7187,Hungary,Weightlifting,Weightlifting Men's Bantamweight,Silver,30.0,150.0,56.0
7188,Hungary,Weightlifting,Weightlifting Men's Bantamweight,Gold,34.0,150.0,56.0
7189,United States,Rowing,Rowing Men's Coxed Eights,Gold,20.0,191.0,86.0
7190,Romania,Handball,Handball Men's Handball,Silver,20.0,195.0,99.0
7191,Romania,Handball,Handball Men's Handball,Bronze,24.0,195.0,99.0
7192,Romania,Handball,Handball Men's Handball,Bronze,28.0,195.0,99.0
7193,Australia,Softball,Softball Women's Softball,Bronze,24.0,167.0,64.0
7194,Italy,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze,28.0,162.0,55.0
7195,Denmark,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,23.0,191.0,82.0
7196,Hungary,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold,27.0,186.0,82.0
7197,Soviet Union,Football,Football Men's Football,Bronze,27.0,180.0,73.0
7198,Italy,Water Polo,Water Polo Men's Water Polo,Bronze,22.0,190.0,96.0
7199,Italy,Football,Football Men's Football,Gold,25.0,172.0,71.0
7200,United States-1,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold,31.0,191.0,93.0
7201,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,17.0,173.0,65.0
7202,Italy,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze,15.0,164.0,63.0
7203,Italy,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Bronze,19.0,164.0,63.0
7204,Italy,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Silver,23.0,164.0,63.0
7205,Italy,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",Bronze,23.0,164.0,63.0
7206,Italy,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze,23.0,164.0,63.0
7207,Italy,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze,27.0,172.0,68.0
7208,Canada,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,27.0,174.0,60.0
7209,Netherlands,Boxing,Boxing Women's Middleweight,Silver,28.0,180.0,75.0
7210,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,30.0,188.0,97.0
7211,East Germany,Rowing,Rowing Men's Coxless Fours,Gold,25.0,190.0,87.0
7212,East Germany,Rowing,Rowing Men's Coxless Fours,Gold,29.0,190.0,87.0
7213,Australia,Sailing,Sailing Mixed Two Person Keelboat,Gold,38.0,185.0,100.0
7214,United States,Basketball,Basketball Men's Basketball,Silver,20.0,203.0,91.0
7215,Australia,Sailing,Sailing Mixed Multihull,Bronze,22.0,181.0,78.0
7216,Australia,Sailing,Sailing Mixed Multihull,Silver,30.0,181.0,78.0
7217,Jamaica,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,20.0,160.0,55.0
7218,Venezuela,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,52.0,171.0,60.0
7219,Italy,Judo,Judo Women's Half-Lightweight,Bronze,26.0,159.0,52.0
7220,United States,Swimming,Swimming Men's 100 metres Freestyle,Silver,24.0,175.0,77.0
7221,Canada,Curling,Curling Women's Curling,Gold,26.0,160.0,68.0
7222,Canada,Rowing,Rowing Men's Quadruple Sculls,Bronze,29.0,187.0,84.0
7223,United States,Basketball,Basketball Men's Basketball,Gold,25.0,193.0,91.0
7224,Australia,Swimming,Swimming Women's 800 metres Freestyle,Gold,18.0,159.0,54.0
7225,Australia,Swimming,Swimming Women's 200 metres Butterfly,Bronze,18.0,159.0,54.0
7226,United States,Basketball,Basketball Men's Basketball,Gold,20.0,188.0,77.0
7227,Australia,Hockey,Hockey Men's Hockey,Bronze,28.0,181.0,77.0
7228,Australia,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze,22.0,175.0,77.0
7229,United States,Boxing,Boxing Men's Heavyweight,Gold,19.0,192.0,99.0
7230,France,Rugby,Rugby Men's Rugby,Silver,29.0,174.0,78.0
7231,Canada,Rowing,Rowing Men's Coxed Eights,Gold,26.0,199.0,98.0
7232,France-1,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze,22.0,178.0,74.0
7233,France-1,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold,26.0,178.0,74.0
7234,Germany,Athletics,Athletics Women's Javelin Throw,Bronze,21.0,173.0,65.0
7235,Brazil,Football,Football Women's Football,Silver,26.0,162.0,53.0
7236,Brazil,Football,Football Women's Football,Silver,30.0,162.0,53.0
7237,Norway,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Bronze,20.0,188.0,78.0
7238,Norway,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver,20.0,188.0,78.0
7239,Norway,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold,24.0,188.0,78.0
7240,Norway,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver,24.0,188.0,78.0
7241,United States,Rowing,Rowing Men's Coxless Fours,Silver,24.0,193.0,86.0
7242,Italy,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold,20.0,172.0,68.0
7243,United States,Swimming,Swimming Men's 200 metres Butterfly,Bronze,18.0,180.0,79.0
7244,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,20.0,185.0,93.0
7245,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,32.0,185.0,93.0
7246,United States,Athletics,Athletics Men's Marathon,Bronze,26.0,184.0,74.0
7247,Germany,Cycling,Cycling Men's Team Sprint,Bronze,26.0,174.0,90.0
7248,East Germany,Rowing,Rowing Women's Quadruple Sculls,Gold,22.0,177.0,69.0
7249,East Germany,Rowing,Rowing Men's Coxless Fours,Gold,25.0,190.0,89.0
7250,Switzerland,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,20.0,169.0,55.0
7251,Australia,Rowing,Rowing Men's Quadruple Sculls,Bronze,32.0,191.0,88.0
7252,Australia,Rowing,Rowing Men's Quadruple Sculls,Silver,36.0,191.0,88.0
7253,Great Britain,Water Polo,Water Polo Men's Water Polo,Gold,23.0,179.0,76.0
7254,Australia,Athletics,Athletics Men's High Jump,Bronze,18.0,199.0,78.0
7255,Spain,Handball,Handball Men's Handball,Bronze,29.0,182.0,83.0
7256,United States,Basketball,Basketball Men's Basketball,Gold,25.0,203.0,84.0
7257,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,23.0,164.0,62.0
7258,Poland,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold,19.0,165.0,60.0
7259,United States,Volleyball,Volleyball Men's Volleyball,Gold,22.0,198.0,89.0
7260,United States,Volleyball,Volleyball Men's Volleyball,Bronze,26.0,198.0,89.0
7261,United States,Athletics,Athletics Men's High Jump,Gold,21.0,193.0,83.0
7262,United States,Athletics,Athletics Men's Pole Vault,Gold,24.0,172.0,66.0
7263,Great Britain,Athletics,"Athletics Men's 10,000 metres",Bronze,28.0,178.0,68.0
7264,United States,Sailing,Sailing Mixed Two Person Keelboat,Bronze,42.0,180.0,84.0
7265,United States,Athletics,Athletics Men's 110 metres Hurdles,Silver,25.0,190.0,84.0
7266,Great Britain,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,30.0,165.0,63.0
7267,Australia,Rowing,Rowing Women's Coxed Fours,Bronze,25.0,180.0,74.0
7268,Australia,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,28.0,181.0,80.0
7269,Great Britain,Rowing,Rowing Men's Coxless Fours,Bronze,26.0,190.0,89.0
7270,Great Britain,Rowing,Rowing Men's Coxless Fours,Gold,30.0,190.0,89.0
7271,United States,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver,34.0,178.0,70.0
7272,France,Freestyle Skiing,Freestyle Skiing Men's Aerials,Silver,26.0,173.0,69.0
7273,United States,Football,Football Women's Football,Gold,25.0,165.0,59.0
7274,United States,Football,Football Women's Football,Silver,29.0,165.0,59.0
7275,United States,Football,Football Women's Football,Gold,33.0,165.0,59.0
7276,New Zealand,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver,25.0,183.0,87.0
7277,Great Britain,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,18.0,170.0,63.0
7278,Great Britain,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,22.0,170.0,63.0
7279,United States,Athletics,Athletics Women's Heptathlon,Silver,27.0,170.0,64.0
7280,France,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze,28.0,176.0,67.0
7281,France,Biathlon,Biathlon Men's 15 kilometres Mass Start,Silver,21.0,183.0,73.0
7282,France,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,Gold,25.0,183.0,73.0
7283,France,Biathlon,Biathlon Men's 15 kilometres Mass Start,Silver,25.0,183.0,73.0
7284,France,Biathlon,Biathlon Men's 20 kilometres,Gold,25.0,183.0,73.0
7285,United States,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,41.0,173.0,66.0
7286,United States,Basketball,Basketball Men's Basketball,Gold,28.0,186.0,77.0
7287,United States,Baseball,Baseball Men's Baseball,Bronze,22.0,198.0,79.0
7288,United States,Basketball,Basketball Women's Basketball,Gold,22.0,198.0,90.0
7289,United States,Basketball,Basketball Women's Basketball,Gold,26.0,198.0,90.0
7290,United States,Basketball,Basketball Women's Basketball,Gold,30.0,198.0,90.0
7291,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,18.0,162.0,54.0
7292,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,18.0,162.0,54.0
7293,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,25.0,190.0,77.0
7294,United States,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,15.0,170.0,66.0
7295,Australia,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver,18.0,166.0,60.0
7296,Australia,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze,22.0,166.0,60.0
7297,Great Britain,Modern Pentathlon,Modern Pentathlon Men's Team,Gold,34.0,188.0,83.0
7298,Australia,Water Polo,Water Polo Women's Water Polo,Gold,21.0,182.0,72.0
7299,United States,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver,38.0,172.0,68.0
7300,Great Britain,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,35.0,196.0,80.0
7301,Great Britain,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,39.0,196.0,80.0
7302,Great Britain,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,43.0,196.0,80.0
7303,West Germany,Handball,Handball Men's Handball,Silver,21.0,186.0,87.0
7304,Norway,Handball,Handball Women's Handball,Gold,22.0,182.0,78.0
7305,Norway,Handball,Handball Women's Handball,Gold,26.0,182.0,78.0
7306,Norway,Handball,Handball Women's Handball,Bronze,30.0,182.0,78.0
7307,Argentina,Tennis,Tennis Men's Doubles,Bronze,25.0,183.0,74.0
7308,Italy,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver,24.0,172.0,71.0
7309,Croatia,Rowing,Rowing Men's Coxed Eights,Bronze,23.0,195.0,90.0
7310,Cuba,Volleyball,Volleyball Women's Volleyball,Gold,25.0,182.0,78.0
7311,United States,Rowing,Rowing Women's Coxed Eights,Gold,25.0,188.0,80.0
7312,United States,Rowing,Rowing Women's Coxed Eights,Gold,29.0,188.0,80.0
7313,Brazil,Football,Football Women's Football,Silver,18.0,161.0,61.0
7314,Jamaica,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,21.0,183.0,68.0
7315,United States,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,24.0,180.0,72.0
7316,Norway,Snowboarding,Snowboarding Men's Halfpipe,Silver,23.0,169.0,66.0
7317,France,Weightlifting,Weightlifting Men's Middleweight,Gold,27.0,167.0,73.0
7318,Sweden,Handball,Handball Men's Handball,Silver,25.0,196.0,94.0
7319,Sweden,Handball,Handball Men's Handball,Silver,29.0,196.0,94.0
7320,Austria,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver,25.0,168.0,68.0
7321,Canada,Rowing,Rowing Men's Coxless Pairs,Silver,28.0,188.0,86.0
7322,Czechoslovakia,Boxing,Boxing Men's Light-Middleweight,Bronze,20.0,177.0,71.0
7323,Italy,Archery,Archery Men's Team,Bronze,20.0,181.0,110.0
7324,Italy,Archery,Archery Men's Team,Silver,24.0,181.0,110.0
7325,Italy,Archery,Archery Men's Team,Gold,36.0,181.0,110.0
7326,Germany,Rowing,Rowing Women's Coxless Fours,Bronze,24.0,181.0,76.0
7327,Denmark,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze,20.0,176.0,71.0
7328,United States,Water Polo,Water Polo Women's Water Polo,Bronze,24.0,180.0,72.0
7329,Austria,Sailing,Sailing Mixed Multihull,Bronze,23.0,167.0,57.0
7330,West Germany,Hockey,Hockey Men's Hockey,Silver,26.0,178.0,73.0
7331,West Germany,Hockey,Hockey Men's Hockey,Silver,30.0,178.0,73.0
7332,United States,Athletics,Athletics Men's Marathon,Bronze,27.0,178.0,61.0
7333,Poland,Fencing,"Fencing Men's Foil, Individual",Gold,28.0,178.0,70.0
7334,Poland,Fencing,"Fencing Men's Foil, Team",Silver,28.0,178.0,70.0
7335,Poland,Fencing,"Fencing Men's Foil, Team",Bronze,32.0,178.0,70.0
7336,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,17.0,188.0,77.0
7337,United States,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,17.0,188.0,77.0
7338,United States,Swimming,Swimming Women's 100 metres Backstroke,Gold,17.0,188.0,77.0
7339,United States,Swimming,Swimming Women's 200 metres Backstroke,Gold,17.0,188.0,77.0
7340,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,17.0,188.0,77.0
7341,United States,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,21.0,188.0,77.0
7342,United States,Baseball,Baseball Men's Baseball,Gold,27.0,190.0,75.0
7343,Yugoslavia,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver,21.0,183.0,79.0
7344,Croatia,Rowing,Rowing Men's Coxed Eights,Bronze,29.0,192.0,96.0
7345,Sweden,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",Bronze,29.0,169.0,73.0
7346,Sweden,Handball,Handball Men's Handball,Silver,25.0,189.0,82.0
7347,Slovenia,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze,28.0,178.0,60.0
7348,Germany,Football,Football Men's Football,Bronze,22.0,172.0,70.0
7349,Australia,Swimming,Swimming Women's 100 metres Freestyle,Gold,19.0,172.0,67.0
7350,Australia,Swimming,Swimming Women's 400 metres Freestyle,Silver,19.0,172.0,67.0
7351,Australia,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,19.0,172.0,67.0
7352,Australia,Swimming,Swimming Women's 100 metres Freestyle,Gold,22.0,172.0,67.0
7353,Australia,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,22.0,172.0,67.0
7354,Australia,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,22.0,172.0,67.0
7355,Australia,Swimming,Swimming Women's 100 metres Freestyle,Gold,27.0,172.0,67.0
7356,Australia,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,27.0,172.0,67.0
7357,United States,Alpine Skiing,Alpine Skiing Women's Slalom,Gold,28.0,163.0,53.0
7358,United States,Alpine Skiing,Alpine Skiing Women's Combined,Silver,28.0,163.0,53.0
7359,United States,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold,26.0,175.0,90.0
7360,Great Britain,Hockey,Hockey Women's Hockey,Bronze,26.0,173.0,62.0
7361,Australia,Water Polo,Water Polo Women's Water Polo,Bronze,19.0,175.0,63.0
7362,Great Britain,Hockey,Hockey Women's Hockey,Bronze,29.0,163.0,62.0
7363,Jamaica,Athletics,Athletics Women's 100 metres,Gold,21.0,160.0,57.0
7364,Jamaica,Athletics,Athletics Women's 100 metres,Gold,25.0,160.0,57.0
7365,Jamaica,Athletics,Athletics Women's 200 metres,Silver,25.0,160.0,57.0
7366,Jamaica,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,25.0,160.0,57.0
7367,Jamaica,Athletics,Athletics Women's 100 metres,Bronze,29.0,160.0,57.0
7368,Jamaica,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,29.0,160.0,57.0
7369,Italy-1,Bobsleigh,Bobsleigh Men's Four,Silver,28.0,175.0,72.0
7370,Italy,Water Polo,Water Polo Women's Water Polo,Silver,30.0,178.0,75.0
7371,Jamaica,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,29.0,170.0,67.0
7372,United States,Figure Skating,Figure Skating Women's Singles,Silver,19.0,153.0,41.0
7373,Romania,Judo,Judo Men's Half-Middleweight,Bronze,27.0,175.0,78.0
7374,Switzerland,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,26.0,169.0,73.0
7375,Jamaica,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,26.0,174.0,62.0
7376,United States,Athletics,Athletics Men's 400 metres,Bronze,21.0,184.0,73.0
7377,United States,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,21.0,184.0,73.0
7378,United States,Boxing,Boxing Men's Heavyweight,Gold,20.0,183.0,89.0
7379,Canada,Synchronized Swimming,Synchronized Swimming Women's Solo,Gold,25.0,177.0,64.0
7380,Canada,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,29.0,177.0,64.0
7381,Denmark,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,21.0,176.0,75.0
7382,Denmark,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,25.0,176.0,75.0
7383,Denmark,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze,29.0,176.0,75.0
7384,United States,Rowing,Rowing Men's Coxed Eights,Gold,21.0,185.0,84.0
7385,India,Hockey,Hockey Men's Hockey,Bronze,23.0,172.0,65.0
7386,Australia,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,40.0,185.0,87.0
7387,Namibia,Athletics,Athletics Men's 100 metres,Silver,24.0,180.0,73.0
7388,Namibia,Athletics,Athletics Men's 200 metres,Silver,24.0,180.0,73.0
7389,Namibia,Athletics,Athletics Men's 100 metres,Silver,28.0,180.0,73.0
7390,Namibia,Athletics,Athletics Men's 200 metres,Silver,28.0,180.0,73.0
7391,Australia,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,42.0,180.0,62.0
7392,Denmark,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver,27.0,173.0,75.0
7393,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,24.0,180.0,82.0
7394,Sweden,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,32.0,189.0,80.0
7395,Sweden,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver,44.0,189.0,80.0
7396,Sweden,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold,28.0,176.0,72.0
