,Age,Height,Weight,Cluster
199,22.0,185.0,98.0,1
200,26.0,185.0,98.0,1
201,34.0,185.0,98.0,4
202,23.0,195.0,94.0,1
203,22.0,192.0,83.0,1
204,26.0,192.0,83.0,1
205,15.0,167.0,60.0,3
206,15.0,167.0,60.0,3
207,19.0,167.0,60.0,3
208,25.0,163.0,57.0,8
209,28.0,203.0,97.0,1
210,20.0,175.0,56.0,3
211,21.0,168.0,57.0,8
212,29.0,168.0,57.0,0
213,23.0,169.0,68.0,8
214,19.0,158.0,49.0,6
215,18.0,172.0,61.0,3
216,25.0,174.0,70.0,2
217,32.0,168.0,68.0,0
218,23.0,174.0,69.0,5
219,23.0,180.0,56.0,8
220,32.0,180.0,56.0,2
221,18.0,154.0,48.0,6
222,22.0,154.0,48.0,6
223,18.0,153.0,46.0,6
224,30.0,186.0,100.0,4
225,32.0,152.0,52.0,0
226,24.0,193.0,82.0,1
227,25.0,189.0,85.0,1
228,24.0,183.0,76.0,5
229,28.0,172.0,68.0,2
230,23.0,178.0,67.0,5
231,27.0,178.0,67.0,2
232,25.0,188.0,92.0,1
233,19.0,198.0,80.0,1
234,23.0,198.0,80.0,1
235,23.0,197.0,87.0,1
236,31.0,197.0,87.0,4
237,21.0,176.0,74.0,5
238,27.0,188.0,79.0,2
239,30.0,180.0,120.0,4
240,28.0,170.0,60.0,0
241,36.0,170.0,60.0,0
242,36.0,170.0,60.0,0
243,21.0,190.0,83.0,5
244,26.0,190.0,95.0,1
245,22.0,165.0,48.0,8
246,27.0,195.0,95.0,1
247,22.0,157.0,48.0,6
248,23.0,165.0,57.0,8
249,27.0,165.0,57.0,8
250,35.0,165.0,57.0,0
251,27.0,188.0,89.0,4
252,24.0,176.0,60.0,8
253,26.0,175.0,81.0,2
254,24.0,173.0,77.0,2
255,28.0,173.0,77.0,2
256,17.0,159.0,51.0,6
257,21.0,170.0,58.0,8
258,21.0,170.0,94.0,5
259,25.0,170.0,94.0,2
260,36.0,170.0,70.0,7
261,40.0,170.0,70.0,7
262,23.0,184.0,68.0,5
263,19.0,160.0,46.0,6
264,23.0,170.0,60.0,8
265,23.0,194.0,96.0,1
266,22.0,167.0,63.0,8
267,22.0,167.0,63.0,8
268,22.0,167.0,63.0,8
269,26.0,207.0,90.0,1
270,24.0,170.0,63.0,8
271,19.0,170.0,63.0,3
272,23.0,170.0,63.0,8
273,22.0,173.0,60.0,8
274,26.0,173.0,60.0,8
275,22.0,170.0,80.0,5
276,26.0,170.0,80.0,2
277,27.0,176.0,56.0,2
278,27.0,176.0,56.0,2
279,30.0,178.0,66.0,2
280,34.0,178.0,66.0,7
281,19.0,177.0,65.0,3
282,23.0,177.0,65.0,5
283,21.0,170.0,57.0,8
284,25.0,170.0,57.0,8
285,23.0,178.0,61.0,5
