,Age,Height,Weight
227,25.0,189.0,85.0
228,24.0,183.0,76.0
229,28.0,172.0,68.0
230,23.0,178.0,67.0
231,27.0,178.0,67.0
232,25.0,188.0,92.0
233,19.0,198.0,80.0
234,23.0,198.0,80.0
235,23.0,197.0,87.0
236,31.0,197.0,87.0
237,21.0,176.0,74.0
238,27.0,188.0,79.0
239,30.0,180.0,120.0
240,28.0,170.0,60.0
241,36.0,170.0,60.0
242,36.0,170.0,60.0
243,21.0,190.0,83.0
244,26.0,190.0,95.0
245,22.0,165.0,48.0
246,27.0,195.0,95.0
247,22.0,157.0,48.0
248,23.0,165.0,57.0
249,27.0,165.0,57.0
250,35.0,165.0,57.0
251,27.0,188.0,89.0
252,24.0,176.0,60.0
253,26.0,175.0,81.0
254,24.0,173.0,77.0
255,28.0,173.0,77.0
256,17.0,159.0,51.0
257,21.0,170.0,58.0
258,21.0,170.0,94.0
259,25.0,170.0,94.0
260,36.0,170.0,70.0
261,40.0,170.0,70.0
262,23.0,184.0,68.0
263,19.0,160.0,46.0
264,23.0,170.0,60.0
265,23.0,194.0,96.0
266,22.0,167.0,63.0
267,22.0,167.0,63.0
268,22.0,167.0,63.0
269,26.0,207.0,90.0
270,24.0,170.0,63.0
271,19.0,170.0,63.0
272,23.0,170.0,63.0
273,22.0,173.0,60.0
274,26.0,173.0,60.0
275,22.0,170.0,80.0
276,26.0,170.0,80.0
277,27.0,176.0,56.0
278,27.0,176.0,56.0
279,30.0,178.0,66.0
280,34.0,178.0,66.0
281,19.0,177.0,65.0
282,23.0,177.0,65.0
283,21.0,170.0,57.0
284,25.0,170.0,57.0
285,23.0,178.0,61.0
286,27.0,178.0,61.0
287,31.0,178.0,61.0
288,35.0,178.0,61.0
289,19.0,169.0,74.0
290,23.0,169.0,74.0
291,27.0,169.0,74.0
292,21.0,173.0,59.0
293,21.0,173.0,59.0
294,21.0,173.0,59.0
295,24.0,183.0,75.0
296,26.0,176.0,60.0
297,23.0,185.0,67.0
298,29.0,175.0,85.0
299,22.0,165.0,60.0
300,19.0,180.0,76.0
301,19.0,180.0,76.0
302,23.0,180.0,76.0
303,23.0,180.0,76.0
304,27.0,180.0,67.0
305,23.0,188.0,78.0
306,30.0,165.0,60.0
307,17.0,147.0,50.0
308,24.0,184.0,70.0
309,22.0,180.0,73.0
310,24.0,163.0,61.0
311,28.0,163.0,61.0
312,19.0,160.0,53.0
313,19.0,160.0,53.0
314,27.0,160.0,53.0
315,23.0,172.0,90.0
316,27.0,172.0,90.0
317,19.0,175.0,55.0
318,30.0,180.0,117.5
319,34.0,180.0,117.5
320,22.0,169.0,65.0
321,23.0,169.0,60.0
322,23.0,169.0,60.0
323,20.0,156.0,59.0
324,17.0,176.0,68.0
325,17.0,168.0,54.0
326,26.0,172.0,70.0
327,34.0,178.0,74.0
328,30.0,175.0,80.0
329,29.0,174.0,55.0
330,24.0,173.0,64.0
331,38.0,169.0,91.0
332,23.0,181.0,72.0
333,22.0,163.0,56.0
334,26.0,163.0,56.0
335,24.0,180.0,72.0
336,32.0,158.0,58.0
337,21.0,185.0,80.0
338,22.0,175.0,75.0
339,21.0,172.0,66.0
340,25.0,172.0,66.0
341,25.0,172.0,66.0
342,22.0,180.0,59.0
343,26.0,166.0,61.0
344,26.0,160.0,62.0
345,24.0,181.0,73.0
346,24.0,181.0,73.0
347,24.0,181.0,73.0
348,24.0,181.0,73.0
349,27.0,164.0,55.0
350,20.0,184.0,79.0
351,31.0,187.0,83.0
352,21.0,188.0,77.0
353,21.0,188.0,77.0
354,21.0,188.0,77.0
355,25.0,188.0,77.0
356,28.0,188.0,91.0
357,27.0,164.0,60.0
358,32.0,164.0,60.0
359,22.0,169.0,63.0
360,26.0,169.0,63.0
361,22.0,190.0,130.0
362,26.0,190.0,130.0
363,25.0,167.0,55.0
364,29.0,167.0,55.0
365,33.0,167.0,55.0
366,21.0,170.0,47.0
367,27.0,175.0,74.0
368,16.0,162.0,72.0
369,20.0,162.0,72.0
370,23.0,168.0,68.0
371,20.0,168.0,62.0
372,15.0,170.0,59.0
373,19.0,170.0,59.0
374,19.0,170.0,59.0
375,18.0,150.0,60.0
376,19.0,181.0,66.0
377,23.0,181.0,66.0
378,33.0,178.0,74.0
379,21.0,162.0,69.0
380,25.0,162.0,69.0
381,23.0,202.0,104.0
382,22.0,178.0,73.0
383,19.0,183.0,74.0
384,23.0,183.0,74.0
385,26.0,172.0,74.0
386,29.0,192.0,117.0
387,26.0,172.0,60.0
388,26.0,170.0,84.0
389,30.0,170.0,84.0
390,34.0,170.0,84.0
391,26.0,190.0,125.0
392,34.0,190.0,125.0
393,24.0,174.0,72.0
394,32.0,174.0,72.0
395,18.0,162.0,54.0
396,24.0,177.0,75.0
397,24.0,178.0,67.0
398,24.0,178.0,67.0
