,Age,Height,Weight,Anomalies
198,40.0,165.0,57.0,-1
199,22.0,185.0,98.0,1
200,26.0,185.0,98.0,1
201,34.0,185.0,98.0,1
202,23.0,195.0,94.0,1
203,22.0,192.0,83.0,1
204,26.0,192.0,83.0,1
205,15.0,167.0,60.0,-1
206,15.0,167.0,60.0,-1
207,19.0,167.0,60.0,1
208,25.0,163.0,57.0,1
209,28.0,203.0,97.0,-1
210,20.0,175.0,56.0,1
211,21.0,168.0,57.0,1
212,29.0,168.0,57.0,1
213,23.0,169.0,68.0,1
214,19.0,158.0,49.0,1
215,18.0,172.0,61.0,1
216,25.0,174.0,70.0,1
217,32.0,168.0,68.0,1
218,23.0,174.0,69.0,1
219,23.0,180.0,56.0,1
220,32.0,180.0,56.0,1
221,18.0,154.0,48.0,-1
222,22.0,154.0,48.0,-1
223,18.0,153.0,46.0,-1
224,30.0,186.0,100.0,1
225,32.0,152.0,52.0,-1
226,24.0,193.0,82.0,1
227,25.0,189.0,85.0,1
228,24.0,183.0,76.0,1
229,28.0,172.0,68.0,1
230,23.0,178.0,67.0,1
231,27.0,178.0,67.0,1
232,25.0,188.0,92.0,1
233,19.0,198.0,80.0,-1
234,23.0,198.0,80.0,1
235,23.0,197.0,87.0,1
236,31.0,197.0,87.0,1
237,21.0,176.0,74.0,1
238,27.0,188.0,79.0,1
239,30.0,180.0,120.0,-1
240,28.0,170.0,60.0,1
241,36.0,170.0,60.0,1
242,36.0,170.0,60.0,1
243,21.0,190.0,83.0,1
244,26.0,190.0,95.0,1
245,22.0,165.0,48.0,1
246,27.0,195.0,95.0,1
247,22.0,157.0,48.0,1
248,23.0,165.0,57.0,1
249,27.0,165.0,57.0,1
250,35.0,165.0,57.0,1
251,27.0,188.0,89.0,1
252,24.0,176.0,60.0,1
253,26.0,175.0,81.0,1
254,24.0,173.0,77.0,1
255,28.0,173.0,77.0,1
256,17.0,159.0,51.0,-1
257,21.0,170.0,58.0,1
258,21.0,170.0,94.0,-1
259,25.0,170.0,94.0,1
260,36.0,170.0,70.0,1
261,40.0,170.0,70.0,1
262,23.0,184.0,68.0,1
263,19.0,160.0,46.0,-1
264,23.0,170.0,60.0,1
265,23.0,194.0,96.0,1
266,22.0,167.0,63.0,1
267,22.0,167.0,63.0,1
268,22.0,167.0,63.0,1
269,26.0,207.0,90.0,-1
270,24.0,170.0,63.0,1
271,19.0,170.0,63.0,1
272,23.0,170.0,63.0,1
273,22.0,173.0,60.0,1
274,26.0,173.0,60.0,1
275,22.0,170.0,80.0,1
276,26.0,170.0,80.0,1
277,27.0,176.0,56.0,1
278,27.0,176.0,56.0,1
279,30.0,178.0,66.0,1
280,34.0,178.0,66.0,1
281,19.0,177.0,65.0,1
282,23.0,177.0,65.0,1
283,21.0,170.0,57.0,1
284,25.0,170.0,57.0,1
285,23.0,178.0,61.0,1
286,27.0,178.0,61.0,1
287,31.0,178.0,61.0,1
288,35.0,178.0,61.0,1
289,19.0,169.0,74.0,1
290,23.0,169.0,74.0,1
291,27.0,169.0,74.0,1
292,21.0,173.0,59.0,1
293,21.0,173.0,59.0,1
294,21.0,173.0,59.0,1
295,24.0,183.0,75.0,1
296,26.0,176.0,60.0,1
297,23.0,185.0,67.0,1
298,29.0,175.0,85.0,1
299,22.0,165.0,60.0,1
300,19.0,180.0,76.0,1
301,19.0,180.0,76.0,1
302,23.0,180.0,76.0,1
303,23.0,180.0,76.0,1
304,27.0,180.0,67.0,1
305,23.0,188.0,78.0,1
306,30.0,165.0,60.0,1
307,17.0,147.0,50.0,-1
308,24.0,184.0,70.0,1
309,22.0,180.0,73.0,1
310,24.0,163.0,61.0,1
311,28.0,163.0,61.0,1
312,19.0,160.0,53.0,1
313,19.0,160.0,53.0,1
314,27.0,160.0,53.0,1
315,23.0,172.0,90.0,1
316,27.0,172.0,90.0,1
317,19.0,175.0,55.0,1
318,30.0,180.0,117.5,-1
319,34.0,180.0,117.5,-1
320,22.0,169.0,65.0,1
321,23.0,169.0,60.0,1
322,23.0,169.0,60.0,1
323,20.0,156.0,59.0,-1
324,17.0,176.0,68.0,1
325,17.0,168.0,54.0,1
326,26.0,172.0,70.0,1
327,34.0,178.0,74.0,1
328,30.0,175.0,80.0,1
329,29.0,174.0,55.0,1
330,24.0,173.0,64.0,1
331,38.0,169.0,91.0,-1
332,23.0,181.0,72.0,1
333,22.0,163.0,56.0,1
334,26.0,163.0,56.0,1
335,24.0,180.0,72.0,1
336,32.0,158.0,58.0,1
337,21.0,185.0,80.0,1
338,22.0,175.0,75.0,1
339,21.0,172.0,66.0,1
340,25.0,172.0,66.0,1
341,25.0,172.0,66.0,1
342,22.0,180.0,59.0,1
343,26.0,166.0,61.0,1
344,26.0,160.0,62.0,1
345,24.0,181.0,73.0,1
346,24.0,181.0,73.0,1
347,24.0,181.0,73.0,1
348,24.0,181.0,73.0,1
349,27.0,164.0,55.0,1
350,20.0,184.0,79.0,1
351,31.0,187.0,83.0,1
352,21.0,188.0,77.0,1
353,21.0,188.0,77.0,1
