,index,ID,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Age,Height,Weight
27052,245804,123088,,M,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,22.0,185.0,82.0
27053,245817,123097,,M,Serbia and Montenegro,SCG,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Silver,21.0,193.0,94.0
27054,245818,123097,,M,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze,25.0,193.0,94.0
27055,245819,123097,,M,Serbia,SRB,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Bronze,29.0,193.0,94.0
27056,245838,123105,,M,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Bronze,20.0,192.0,90.0
27057,245854,123111,,F,Japan,JPN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,24.0,177.0,68.0
27058,245861,123116,,M,Japan,JPN,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze,29.0,186.0,85.0
27059,245871,123120,,M,Japan,JPN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Bronze,23.0,163.0,57.0
27060,245886,123126,,M,Japan,JPN,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Open Class,Gold,25.0,174.0,103.0
27061,245902,123132,,F,Japan,JPN,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Middleweight,Gold,25.0,160.0,70.0
27062,245903,123132,,F,Japan,JPN,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Middleweight,Gold,29.0,160.0,70.0
27063,245907,123136,,F,Japan,JPN,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Middleweight,Bronze,29.0,164.0,63.0
27064,245908,123137,,F,Japan,JPN,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Bronze,22.0,174.0,72.0
27065,245909,123137,,F,Japan,JPN,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Gold,26.0,174.0,72.0
27066,245922,123143,,M,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,21.0,165.0,57.0
27067,245923,123143,,M,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,25.0,165.0,57.0
27068,245935,123147,,F,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Women's epee, Team",Silver,28.0,173.0,68.0
27069,245936,123148,,M,Spain,ESP,2000 Summer,2000,Summer,Sydney,Handball,Handball Men's Handball,Bronze,24.0,187.0,81.0
27070,245949,123154,,M,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Lightweight,Bronze,22.0,176.0,60.0
27071,245950,123155,,M,Nigeria,NGR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,18.0,182.0,76.0
27072,245955,123159,,M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Pole Vault,Bronze,21.0,173.0,69.0
27073,245958,123159,,M,Sweden,SWE,1924 Summer,1924,Summer,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze,33.0,173.0,69.0
